model,template,prompt_set,temperature,aasr,aarr,refusal_rate,total_responses
gpt-4o-mini,AIM,CM,0.2,0.0,0.0,1.0,200
gpt-4o-mini,AIM,CM,0.6,0.02,0.045,0.965,200
gpt-4o-mini,AIM,CM,1.0,0.05,0.06,0.945,200
gpt-4o-mini,AIM,CMP,0.2,0.015,0.025,0.985,200
gpt-4o-mini,AIM,CMP,0.6,0.04,0.045,0.955,200
gpt-4o-mini,AIM,CMP,1.0,0.085,0.105,0.9,200
gpt-4o-mini,AIM,English,0.2,0.0,0.015,1.0,200
gpt-4o-mini,AIM,English,0.6,0.0,0.01,1.0,200
gpt-4o-mini,AIM,English,1.0,0.0,0.01,1.0,200
gpt-4o-mini,AntiLM,CM,0.2,0.0,0.035,1.0,200
gpt-4o-mini,AntiLM,CM,0.6,0.0,0.04,0.995,200
gpt-4o-mini,AntiLM,CM,1.0,0.005,0.05,0.99,200
gpt-4o-mini,AntiLM,CMP,0.2,0.015,0.05,0.98,200
gpt-4o-mini,AntiLM,CMP,0.6,0.02,0.065,0.96,200
gpt-4o-mini,AntiLM,CMP,1.0,0.025,0.06,0.97,200
gpt-4o-mini,AntiLM,English,0.2,0.0,0.02,1.0,200
gpt-4o-mini,AntiLM,English,0.6,0.0,0.025,1.0,200
gpt-4o-mini,AntiLM,English,1.0,0.0,0.035,1.0,200
gpt-4o-mini,OM,CM,0.2,0.125,0.235,0.79,200
gpt-4o-mini,OM,CM,0.6,0.11,0.23,0.805,200
gpt-4o-mini,OM,CM,1.0,0.155,0.265,0.77,200
gpt-4o-mini,OM,CMP,0.2,0.205,0.31,0.715,200
gpt-4o-mini,OM,CMP,0.6,0.2,0.325,0.705,200
gpt-4o-mini,OM,CMP,1.0,0.24,0.325,0.71,200
gpt-4o-mini,OM,English,0.2,0.0,0.035,0.985,200
gpt-4o-mini,OM,English,0.6,0.0,0.05,0.98,200
gpt-4o-mini,OM,English,1.0,0.005,0.05,0.97,200
gpt-4o-mini,Sandbox,CM,0.2,0.0,0.035,0.995,200
gpt-4o-mini,Sandbox,CM,0.6,0.01,0.045,0.98,200
gpt-4o-mini,Sandbox,CM,1.0,0.01,0.05,0.98,200
gpt-4o-mini,Sandbox,CMP,0.2,0.03,0.045,0.97,200
gpt-4o-mini,Sandbox,CMP,0.6,0.03,0.055,0.97,200
gpt-4o-mini,Sandbox,CMP,1.0,0.06,0.1,0.935,200
gpt-4o-mini,Sandbox,English,0.2,0.0,0.035,0.995,200
gpt-4o-mini,Sandbox,English,0.6,0.0,0.035,0.995,200
gpt-4o-mini,Sandbox,English,1.0,0.005,0.035,0.99,200
llama-3-8b,AIM,CM,0.2,0.19,0.575,0.8,200
llama-3-8b,AIM,CM,0.6,0.215,0.6,0.765,200
llama-3-8b,AIM,CM,1.0,0.28,0.61,0.73,200
llama-3-8b,AIM,CMP,0.2,0.245,0.595,0.755,200
llama-3-8b,AIM,CMP,0.6,0.305,0.615,0.71,200
llama-3-8b,AIM,CMP,1.0,0.32,0.605,0.68,200
llama-3-8b,AIM,English,0.2,0.09,0.53,0.905,200
llama-3-8b,AIM,English,0.6,0.1,0.61,0.905,200
llama-3-8b,AIM,English,1.0,0.115,0.575,0.895,200
llama-3-8b,AntiLM,CM,0.2,0.44,0.6,0.54,200
llama-3-8b,AntiLM,CM,0.6,0.35,0.585,0.635,200
llama-3-8b,AntiLM,CM,1.0,0.375,0.485,0.635,200
llama-3-8b,AntiLM,CMP,0.2,0.52,0.585,0.485,200
llama-3-8b,AntiLM,CMP,0.6,0.435,0.605,0.52,200
llama-3-8b,AntiLM,CMP,1.0,0.445,0.36,0.56,200
llama-3-8b,AntiLM,English,0.2,0.37,0.59,0.615,200
llama-3-8b,AntiLM,English,0.6,0.345,0.61,0.66,200
llama-3-8b,AntiLM,English,1.0,0.4,0.665,0.595,200
llama-3-8b,OM,CM,0.2,0.025,0.36,0.985,200
llama-3-8b,OM,CM,0.6,0.05,0.265,0.98,200
llama-3-8b,OM,CM,1.0,0.06,0.31,0.98,200
llama-3-8b,OM,CMP,0.2,0.05,0.25,0.975,200
llama-3-8b,OM,CMP,0.6,0.055,0.29,0.98,200
llama-3-8b,OM,CMP,1.0,0.115,0.31,0.94,200
llama-3-8b,OM,English,0.2,0.03,0.45,0.995,200
llama-3-8b,OM,English,0.6,0.01,0.375,0.995,200
llama-3-8b,OM,English,1.0,0.055,0.38,0.97,200
llama-3-8b,Sandbox,CM,0.2,0.055,0.395,0.945,200
llama-3-8b,Sandbox,CM,0.6,0.04,0.375,0.96,200
llama-3-8b,Sandbox,CM,1.0,0.095,0.355,0.91,200
llama-3-8b,Sandbox,CMP,0.2,0.075,0.33,0.93,200
llama-3-8b,Sandbox,CMP,0.6,0.08,0.33,0.92,200
llama-3-8b,Sandbox,CMP,1.0,0.175,0.33,0.855,200
llama-3-8b,Sandbox,English,0.2,0.015,0.465,0.99,200
llama-3-8b,Sandbox,English,0.6,0.02,0.35,0.995,200
llama-3-8b,Sandbox,English,1.0,0.035,0.385,0.97,200
mistral-7b,AIM,CM,0.2,0.94,1.0,0.0,200
mistral-7b,AIM,CM,0.6,0.955,1.0,0.005,200
mistral-7b,AIM,CM,1.0,0.965,1.0,0.0,200
mistral-7b,AIM,CMP,0.2,0.925,0.985,0.0,200
mistral-7b,AIM,CMP,0.6,0.93,0.985,0.0,200
mistral-7b,AIM,CMP,1.0,0.935,0.985,0.0,200
mistral-7b,AIM,English,0.2,0.985,1.0,0.0,200
mistral-7b,AIM,English,0.6,0.995,1.0,0.0,200
mistral-7b,AIM,English,1.0,0.985,1.0,0.0,200
mistral-7b,AntiLM,CM,0.2,0.835,0.965,0.015,200
mistral-7b,AntiLM,CM,0.6,0.87,0.98,0.005,200
mistral-7b,AntiLM,CM,1.0,0.885,0.99,0.0,200
mistral-7b,AntiLM,CMP,0.2,0.82,0.93,0.03,200
mistral-7b,AntiLM,CMP,0.6,0.86,0.945,0.01,200
mistral-7b,AntiLM,CMP,1.0,0.855,0.97,0.0,200
mistral-7b,AntiLM,English,0.2,0.97,1.0,0.0,200
mistral-7b,AntiLM,English,0.6,0.965,1.0,0.0,200
mistral-7b,AntiLM,English,1.0,0.955,1.0,0.0,200
mistral-7b,OM,CM,0.2,0.84,0.985,0.07,200
mistral-7b,OM,CM,0.6,0.865,0.99,0.05,200
mistral-7b,OM,CM,1.0,0.845,1.0,0.075,200
mistral-7b,OM,CMP,0.2,0.86,0.955,0.075,200
mistral-7b,OM,CMP,0.6,0.835,0.97,0.05,200
mistral-7b,OM,CMP,1.0,0.855,0.955,0.045,200
mistral-7b,OM,English,0.2,0.865,1.0,0.14,200
mistral-7b,OM,English,0.6,0.9,1.0,0.15,200
mistral-7b,OM,English,1.0,0.87,1.0,0.13,200
mistral-7b,Sandbox,CM,0.2,0.895,0.99,0.21,200
mistral-7b,Sandbox,CM,0.6,0.92,0.985,0.2,200
mistral-7b,Sandbox,CM,1.0,0.91,0.99,0.14,200
mistral-7b,Sandbox,CMP,0.2,0.935,0.94,0.255,200
mistral-7b,Sandbox,CMP,0.6,0.945,0.96,0.215,200
mistral-7b,Sandbox,CMP,1.0,0.895,0.96,0.17,200
mistral-7b,Sandbox,English,0.2,0.98,1.0,0.29,200
mistral-7b,Sandbox,English,0.6,0.975,1.0,0.21,200
mistral-7b,Sandbox,English,1.0,0.95,1.0,0.165,200
